,sp500,copper,oil,policy_rate,dgs10,yield_curve,market_vol,stock_bond_corr,sim_flag,anti_flag
2005-01-31,-0.0969180187295907,1.2755767118847918,1.4263719726166304,1.3894351011468555,0.3254025222190032,-1.1217652305430172,-0.132256185757966,-1.6871863890297212,0,0
2005-02-28,-0.0520356708800381,0.8286209562920347,1.4946761210024138,1.5401934619651232,0.7867945570904359,-0.948317249388698,0.1664587354079585,-1.5804394245643396,0,0
2005-03-31,-0.0754505723075246,0.6167899362629609,2.048414260464187,1.7050240277985638,1.0955379735640869,-0.8952340253753472,-0.6031359287970753,-1.8947391741556825,0,0
2005-04-30,-0.1012491131484248,0.7758088299409912,1.8414131580072015,1.74096422952249,-0.0117669308661466,-1.660827710760466,0.2800541189818131,-1.3714682773137952,0,0
2005-05-31,0.0155138840343702,0.9118423277779476,0.9051808746535084,1.7174264906091896,-0.4077455659259343,-1.9044675187692333,-0.1545416761008711,-1.477672303824512,0,0
2005-06-30,-0.0935517877791371,1.514648313218536,2.027284048905113,1.6122038754832284,-0.4365813580024891,-1.8299260007461449,-0.2698512707215534,-1.5497819937393529,0,0
2005-07-31,0.3539690865413862,1.4463253205911937,1.946547361002113,1.7461924337163406,0.0937176765718821,-1.6147646960279027,-0.0652347512422998,-1.699253507055647,0,0
2005-08-31,0.2629209552907272,1.7046302409602825,2.148725129457003,1.778200445500639,0.214304903978901,-1.5789825995300997,-0.5301511793757423,-1.4784359556442517,0,0
2005-09-30,0.2531048382821259,1.6996281709250465,2.0399488709398934,1.6068316949000463,0.5630676831143949,-1.2060680018493326,-0.0557583568458608,-2.118053851927459,1,0
2005-10-31,0.0497431633289178,1.8198794196767305,0.7136128170551903,1.717305436290843,0.924640938699274,-1.1094809153291858,0.2766754206229226,-2.573679768883429,0,0
2005-11-30,0.0469562724899985,1.954654517483763,0.7778050743518915,1.5811998421042657,0.4495934196334247,-1.3130616777772863,-0.2752639691181009,-2.6154177813623103,0,0
2005-12-31,-0.1630140462165453,2.3867044799499024,1.5387456924710925,1.46969683178215,0.4607548713647545,-1.2162764585982488,-0.0810699017605748,-2.985375650743719,0,0
2006-01-31,0.1827335157261631,2.528545455342945,1.8170982080749367,1.596184091355493,0.747076659746718,-1.1894753304487526,0.1076131316643311,-2.7101941852845024,0,0
2006-02-28,0.0668401850598003,2.7006171230582567,1.178998182602975,1.549505882281268,0.4833094059816389,-1.3098692748608471,-0.1747875427247383,-2.8017458674271363,1,0
2006-03-31,0.2729520469849138,2.593136823181436,0.5496924139240855,1.4329040829580786,0.6866005370074154,-1.0724158264621575,-0.2724768909784055,-2.5636798063719906,1,0
2006-04-30,0.4892610109365002,3.0,1.5106183105445683,1.442516282926927,1.29870451617473,-0.7174757648404064,-0.7186323613273383,-2.394286438681349,0,0
