,sp500,copper,oil,policy_rate,dgs10,yield_curve,market_vol,stock_bond_corr
1982-07-31,-1.387691403629826,-0.49163569052496864,-0.8314075603915968,-1.8861654138954813,-1.7411242782197773,1.3616629951747892,-0.11926408128124225,-1.1396286088529948
1982-08-31,-1.3751386483110475,-0.645804168612437,-0.8623825436339926,-3.0,-3.0,2.137544199488682,1.8138597939023373,-1.4607225886439916
1982-09-30,0.1928948125242204,-0.5542674468104047,-0.5774919673573681,-2.946728876556899,-3.0,1.3355463464590782,-0.385491547507019,-2.07605164064224
1982-10-31,0.5542461959351751,-0.4209129051555929,-0.4010492602354307,-2.488840347188038,-3.0,0.9461613614402806,1.5565182427142759,-2.084693878091599
1982-11-30,0.9315223625232928,-0.42166347555958056,-0.8250614841554746,-1.3126574617780846,-2.380685949684244,0.21796794644645742,1.496473890737315,-1.711704979170263
1982-12-31,0.960823672880021,-0.3763059813239849,-1.0581327179588547,-1.3354591804951472,-3.0,-0.357528752723728,0.9564108450372807,-1.6525568405940987
1983-01-31,1.6904922103341777,-0.13468321658536903,-0.9474929432519985,-1.8557562878116842,-2.870471305023777,0.5212963138983882,0.2085054885788676,-1.7432941866918314
1983-02-28,1.992041678338841,0.014204038390858173,-0.9330077960597206,-2.144379741616953,-3.0,0.7715603875454264,-0.6439004903598816,-2.3037194033191293
1983-03-31,2.472507444204744,0.08228049545843451,-0.43976238796009337,-1.7276529764814637,-2.7677206857197576,0.34386144306775196,-0.5901284771170028,-2.3314707578049827
1983-04-30,2.4094580382184616,0.19757687366692298,-0.9654382096511918,-1.7453836167396546,-2.6859824006373083,0.39331900590943186,-0.0979633253219951,-2.7599868837842125
1983-05-31,2.684661132891533,0.34371693802743675,-1.4612673881583413,-1.5057810164471848,-2.166328807628078,0.4381203545821583,0.1461125053944188,-2.319259367363968
1983-06-30,3.0,0.624920611329137,-1.1424036335859964,-1.4022315647934802,-2.4498554163118142,0.02477717230968324,-0.21795911165455759,-1.9966366198087608
1983-07-31,2.9686139856041276,0.40625839165626665,-0.8781016712328722,-0.8915272153405006,-1.4517150498949192,0.08858424392709006,0.8844357459582493,-2.2207954971511548
1983-08-31,2.5998689957824497,0.29447616871806387,-0.7968785090471519,0.15589074137340672,-0.7688714843947053,-0.8743863852700717,-2.1754920916633145,-2.3315216356334685
1983-09-30,2.1184348714739327,0.2134249615644223,-1.190123894633755,0.31503635752914655,-0.4327353218273029,-0.829328252900317,-0.810612690011631,-1.589507905562063
1983-10-31,1.6290219162767527,-0.049966387472653695,-1.2957103745417797,0.2665466768981637,0.3753591366412947,-0.06909037894199341,-2.245643708948211,-1.6215732678942096
1983-11-30,1.1440841002980344,-0.08356227843183031,-1.1276330930572682,0.1881452180954862,0.25626587176002547,-0.05551055240980298,-2.381417381379872,-1.644442665128597
1983-12-31,1.0194645448709914,-0.07172903048494114,-0.8259970613642241,0.3264406790236433,0.6313367674292042,0.06791753522852959,-1.422338527078313,-1.7008689738732696
1984-01-31,0.8547128906655473,-0.31486581575450556,-0.6573698384062008,0.3239066922086338,0.2671107967895747,-0.24658178991419563,-1.5047996462545365,-1.6208684544614038
1984-02-29,0.2381616726578778,-0.3410018852032768,-0.21684797465181518,0.3039767016225062,0.809832473206151,0.26252381119223483,0.10413306833669625,-1.0843047585026184
1984-03-31,-0.03371896754438286,-0.09070346417057186,-0.09058839129103702,0.3754471936737524,0.8863459462242147,0.227412948853486,0.20747643043516695,-0.9666214461024162
1984-04-30,-0.3394442147103376,-0.16044276517051853,-0.39429823320581114,0.49038099311894057,1.2605405736823043,0.3969628126337795,-0.0625039951043244,-0.4539224969135311
1984-05-31,-0.7405182504940022,-0.5625629047999261,-0.30386975491913665,0.5494954705523382,1.5648246337109681,0.597141262892582,-0.40673236493709497,-0.8420073200169386
1984-06-30,-1.0518225340955611,-0.5285576305898798,-0.5453641830428176,0.3445135738162193,1.410157633958647,0.7718638285204966,0.3115793772335173,-0.8210107725201469
1984-07-31,-1.2038788843146386,-0.605247102373518,-0.8354648730968287,0.3253365263671784,0.3776637492784952,-0.1405633586907471,-0.9622973259043505,-0.24220377217860964
1984-08-31,-0.2576406723119755,-0.45460797534859343,-0.7829905128605809,0.3553341149300901,0.1758386343154428,-0.36949106658074243,0.4375989597183958,0.06024864086404344
1984-09-30,-0.45424961403777137,-0.3844759059332542,-0.6334479182673445,0.4373998700127181,0.30665737450225194,-0.37322023358671835,0.04366563400417087,0.33611982733961454
1984-10-31,-0.4185755733927917,-0.17145840312025085,-0.5976985417531036,0.3365768697015592,-0.2707914565916645,-0.7480616692800941,0.22670147410499747,0.6047607122015818
1984-11-30,-0.37676341203766106,0.06774304339061088,-0.6024148393522475,-0.11784078182051257,-0.32523745953499217,-0.1205582176766191,0.3714454250265261,0.606825909046921
1984-12-31,-0.45629679518817307,-0.057118312516480696,-0.9220912108002618,-0.40249195277208555,-0.4518040193509551,0.1887834701630304,0.866352088439646,0.6092046809101083
1985-01-31,0.2513602972466981,0.09966842055728363,-0.9501605980938479,-0.4764702592043541,-0.5824710353640153,0.1794827667083766,0.5406316530813123,0.5688293430777193
1985-02-28,0.876378612737662,0.027024843075045744,-0.7538085567521624,-0.36315368039849644,-0.3599816230892874,0.2136977443244466,-0.9076787740304327,0.49449056370242056
1985-03-31,0.8248527393781446,-0.16258029407993133,-0.6912482232645737,-0.43439216467350567,-0.7951122502677306,-0.08470305046257043,-0.3114368260530612,0.5284777681943946
1985-04-30,0.7493684775366303,-0.005696414145358991,-0.5727471991153401,-0.7090829433904754,-1.092809678085945,0.04550477837606194,-0.4964409479123393,0.7622220406075509
1985-05-31,1.3720790586424179,0.3372351398669324,-0.7395043483969208,-0.936041547374803,-2.3237413312389537,-0.839562264241952,0.18026044418466122,0.6562905074338371
1985-06-30,1.6843116912779663,0.19771220327166755,-0.7211273308127599,-1.1424260786863867,-2.2337005883390253,-0.48295720179182755,-0.5866698290205068,0.9915610995312205
1985-07-31,1.7144683360841142,0.40714151687458716,-0.49385216434033885,-1.1762536950434261,-1.5036094444210266,0.3022848558042251,-0.0009225075621385709,0.404132786750926
1985-08-31,0.7878951131445485,0.21680247314859324,-0.5014374358153775,-1.2759060127922806,-1.5697833318524566,0.38231053848820784,-1.0264692884044613,0.22014433040883513
1985-09-30,0.3059413623238274,0.18022441951614046,-0.4230787327061037,-1.243320549886189,-1.3538981227223938,0.5566597992974095,-0.010142915438254657,0.8621361528672277
1985-10-31,0.7490410568799009,0.28708207388765866,-0.13854920752178698,-0.9879745984763111,-1.1312221686442712,0.382483084540746,-0.574762399928966,1.2257401309866218
1985-11-30,1.444714128157762,0.023257965313099514,0.166912354832137,-0.5540699516783303,-1.2264621432344174,-0.42771780088843087,-0.1794576142122012,0.9546925084902711
1985-12-31,2.033330001968749,0.1524557974770079,0.018742466849462205,-0.40875504576824273,-1.5017966571872183,-0.9769954264361053,0.06518259723511445,0.8215882815555862
1986-01-31,1.2407162004232484,0.11918954415293188,-0.6921209416904861,-0.3135235053745532,-1.236811690368413,-0.8515907412311554,0.7058509907033238,0.6333683114691246
1986-02-28,1.9707710197558586,-0.007236359297955632,-2.087660569597373,-0.4995983753792207,-2.0793483720596186,-1.505280447662033,0.3558516066170049,0.18326361541354225
1986-03-31,2.577702705753594,0.10404810551168121,-2.582125145979484,-0.7647248846505383,-2.263559970858662,-1.3271739398876032,0.560223527442227,-0.2505028412098133
1986-04-30,2.3651621595681553,-0.2521478528226791,-2.5401665053212508,-0.7346964028862342,-2.093399534781591,-1.2167642278750683,1.8449703432857347,-0.2937219921883541
1986-05-31,2.3966092616066694,-0.375818048319728,-1.9356886690497053,-0.5284595788338365,-1.1737303104013017,-0.5035795648763589,0.8134839227904834,0.14600580661229004
1986-06-30,2.3783919114776113,-0.09233797261488197,-2.095085809208612,-0.31361869545047055,-1.482774323967977,-1.2059772145151006,0.8193968546481825,-0.19718853467478467
1986-07-31,1.6474825360099916,-0.4115775053207427,-2.3172183607846715,-0.4957680473864532,-1.6163781470524883,-1.0869289122937673,1.4182342805777706,0.07914113799381126
1986-08-31,2.514538106161822,-0.36327329278903475,-1.8443901270282093,-0.6239265135656574,-1.6359677608072096,-0.925934913428089,0.5587405354028361,0.21747037816229794
1986-09-30,1.7482201355434552,-0.06354199594625778,-1.895063301066764,-0.7221412879298266,-1.3906137420056732,-0.4966616211160235,2.279969229257694,-0.8444822794085274
1986-10-31,1.938426311461374,-0.20508906017284687,-2.017662337341997,-0.7504016702894266,-1.2819964742840768,-0.3332744965852526,0.26982613758710794,-1.1673954687714259
